index,Year,Winning League,Winning team,Winning Manager,Games,Losing League,Losing team,Losing Manager
72,1976,National League,Cincinnati Reds,Sparky Anderson,4–0,American League,New York Yankees,Billy Martin
73,1977,American League,New York Yankees,Billy Martin,4–2,National League,Los Angeles Dodgers,Tommy Lasorda
74,1978,American League,New York Yankees,Bob Lemon,4–2,National League,Los Angeles Dodgers,Tommy Lasorda
75,1979,National League,Pittsburgh Pirates,Chuck Tanner,4–3,American League,Baltimore Orioles,Earl Weaver
76,1980,National League,Philadelphia Phillies,Dallas Green,4–2,American League,Kansas City Royals,Jim Frey
77,1981,National League,Los Angeles Dodgers,Tommy Lasorda,4–2,American League,New York Yankees,Bob Lemon
78,1982,National League,St. Louis Cardinals,Whitey Herzog,4–3,American League,Milwaukee Brewers,Harvey Kuenn
79,1983,American League,Baltimore Orioles,Joe Altobelli,4–1,National League,Philadelphia Phillies,Paul Owens
80,1984,American League,Detroit Tigers,Sparky Anderson,4–1,National League,San Diego Padres,Dick Williams
81,1985,American League,Kansas City Royals,Dick Howser,4–3,National League,St. Louis Cardinals,Whitey Herzog
82,1986,National League,New York Mets,Davey Johnson,4–3,American League,Boston Red Sox,John McNamara
83,1987,American League,Minnesota Twins,Tom Kelly,4–3,National League,St. Louis Cardinals,Whitey Herzog
84,1988,National League,Los Angeles Dodgers,Tommy Lasorda,4–1,American League,Oakland Athletics,Tony La Russa
85,1989,American League,Oakland Athletics,Tony La Russa,4–0,National League,San Francisco Giants,Roger Craig
86,1990,National League,Cincinnati Reds,Lou Piniella,4–0,American League,Oakland Athletics,Tony La Russa
87,1991,American League,Minnesota Twins,Tom Kelly,4–3,National League,Atlanta Braves,Bobby Cox
88,1992,American League,Toronto Blue Jays,Cito Gaston,4–2,National League,Atlanta Braves,Bobby Cox
89,1993,American League,Toronto Blue Jays,Cito Gaston,4–2,National League,Philadelphia Phillies,Jim Fregosi
90,1995,National League,Atlanta Braves,Bobby Cox,4–2,American League,Cleveland Indians,Mike Hargrove
91,1996,American League,New York Yankees,Joe Torre,4–2,National League,Atlanta Braves,Bobby Cox
92,1997,National League,Florida Marlins,Jim Leyland,4–3,American League,Cleveland Indians,Mike Hargrove
93,1998,American League,New York Yankees,Joe Torre,4–0,National League,San Diego Padres,Bruce Bochy
94,1999,American League,New York Yankees,Joe Torre,4–0,National League,Atlanta Braves,Bobby Cox
95,2000,American League,New York Yankees,Joe Torre,4–1,National League,New York Mets,Bobby Valentine
96,2001,National League,Arizona Diamondbacks,Bob Brenly,4–3,American League,New York Yankees,Joe Torre
97,2002,American League,Anaheim Angels,Mike Scioscia,4–3,National League,San Francisco Giants,Dusty Baker
98,2003,National League,Florida Marlins,Jack McKeon,4–2,American League,New York Yankees,Joe Torre
99,2004,American League,Boston Red Sox,Terry Francona,4–0,National League,St. Louis Cardinals,Tony La Russa
100,2005,American League,Chicago White Sox,Ozzie Guillén,4–0,National League,Houston Astros,Phil Garner
101,2006,National League,St. Louis Cardinals,Tony La Russa,4–1,American League,Detroit Tigers,Jim Leyland
102,2007,American League,Boston Red Sox,Terry Francona,4–0,National League,Colorado Rockies,Clint Hurdle
103,2008,National League,Philadelphia Phillies,Charlie Manuel,4–1,American League,Tampa Bay Rays,Joe Maddon
104,2009,American League,New York Yankees,Joe Girardi,4–2,National League,Philadelphia Phillies,Charlie Manuel
105,2010,National League,San Francisco Giants,Bruce Bochy,4–1,American League,Texas Rangers,Ron Washington
106,2011,National League,St. Louis Cardinals,Tony La Russa,4–3,American League,Texas Rangers,Ron Washington
107,2012,National League,San Francisco Giants,Bruce Bochy,4–0,American League,Detroit Tigers,Jim Leyland
108,2013,American League,Boston Red Sox,John Farrell,4–2,National League,St. Louis Cardinals,Mike Matheny
109,2014,National League,San Francisco Giants,Bruce Bochy,4–3,American League,Kansas City Royals,Ned Yost
110,2015,American League,Kansas City Royals,Ned Yost,4–1,National League,New York Mets,Terry Collins
111,2016,National League,Chicago Cubs,Joe Maddon,4–3,American League,Cleveland Indians,Terry Francona
112,2017,American League,Houston Astros,A. J. Hinch,4–3,National League,Los Angeles Dodgers,Dave Roberts
